Sensor1,2018-11-28_13:23:12,0,"[('Music', 0.9999854564666748), ('Speech', 0.9482349753379822), ('Inside, large room or hall', 0.1515946090221405)]",/Users/pranavlal/Documents/Big_Data/Project/dhishoom/ProcessedFiles/Sensor1/2018-11-28_13:23:12.wav
Sensor1|2018-11-29_22:29:58|0|[('Music', 0.9383421540260315)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:29:58.wav
Sensor1|2018-11-29_22:30:08|1|[('Speech', 0.9531733989715576), ('Gunshot, gunfire', 0.4033302068710327)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:30:08.wav
Sensor1|2018-11-29_22:30:18|1|[('Gunshot, gunfire', 0.9872897267341614)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:30:18.wav
Sensor1|2018-11-29_22:30:28|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:30:28.wav
Sensor1|2018-11-29_22:32:28|0|[('Firecracker', 0.9985677003860474), ('Speech', 0.13939696550369263)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:32:28.wav
Sensor1|2018-11-29_22:32:32|0|[('Speech', 0.9997992515563965), ('Music', 0.22718949615955353)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:32:32.wav
Sensor1|2018-11-29_22:32:42|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:32:42.wav
Sensor1|2018-11-29_22:32:52|0|[('Wind noise (microphone)', 0.1603657752275467)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:32:52.wav
Sensor1|2018-11-29_22:33:02|0|[('Music', 0.9383421540260315)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:02.wav
Sensor1|2018-11-29_22:33:12|1|[('Speech', 0.9531733989715576), ('Gunshot, gunfire', 0.4033302068710327)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:12.wav
Sensor1|2018-11-29_22:33:22|1|[('Gunshot, gunfire', 0.9872897267341614)]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:22.wav
Sensor1|2018-11-29_22:33:34|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:34.wav
Sensor1|2018-11-29_22:33:44|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:44.wav
Sensor1|2018-11-29_22:33:54|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:33:54.wav
Sensor1|2018-11-29_22:34:04|0|[]|/Users/pranavlal/Documents/Big_Data/Project/dhishoom2/ProcessedFiles/Sensor1/2018-11-29_22:34:04.wav
